cited_author,wos-uid
"Haraway, Donna",WOS:000943108000001
"Powers, A",WOS:000943108000001
"Latour, B",WOS:000943108000001
"Braidotti, R",WOS:000943108000001
"Fong, T",WOS:000943108000001
"Nass, C",WOS:000943108000001
"DELPHY, C",WOS:000943108000001
"KOTZ, L",WOS:000943108000001
"BUTLER, J",WOS:000943108000001
"Kiesling, S",WOS:000943108000001
"Garcia Velazquez, I",WOS:000943108000001
"Butler, J.",WOS:000943108000001
"Jones, A.",WOS:000943108000001
"Nomura, T",WOS:000943108000001
"Seibt, J",WOS:000943108000001
"Freiler, T.",WOS:000943108000001
"De Beauvoir, S.",WOS:000943108000001
"Cordero, J",WOS:000943108000001
"Weber, J.",WOS:000943108000001
"Robertson, J.",WOS:000943108000001
"Garroutte, EM",WOS:000943108000001
"Beer, JM",WOS:000943108000001
"Rea, DJ",WOS:000943108000001
"Pillinger, A",WOS:000943108000001
"Warner, S",WOS:000943108000001
"Noor, J",WOS:000943108000001
"Fausto-Sterling, A.",WOS:000943108000001
"Wajcman, J",WOS:000943108000001
"Deloria, V.",WOS:000943108000001
"Barad, K.",WOS:000943108000001
"Turner, NJ.",WOS:000943108000001
"Gopal, S",WOS:000943108000001
"Little Bear, L.",WOS:000943108000001
"Haraway, DJ.",WOS:000943108000001
"West, M.",WOS:000943108000001
"Janssen, ED.",WOS:000943108000001
"Absolon, K. E.",WOS:000943108000001
"Abbate, Janet",WOS:000943108000001
"Muller-Wille, S",WOS:000943108000001
"Sreedevi, J",WOS:000943108000001
"Chandler, D",WOS:000943108000001
"Wilson, S.",WOS:000943108000001
STOLLER R,WOS:000943108000001
"Ann, Oakley",WOS:000943108000001
Mataric,WOS:000943108000001
"Cajete, G",WOS:000943108000001
"Simpson, Leanne Betasamosake",WOS:000943108000001
"Garcia Velazquez, I",WOS:000943108000001
"You, H-C",WOS:000943108000001
"Lenkersdorf, C",WOS:000943108000001
"Kovach, Margaret.",WOS:000943108000001
"Lee, D",WOS:000943108000001
"Balogun, Ireti",WOS:000830933700001
"Roman, Gabriel Graton",WOS:000830933700001
